BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,,,
红绿__Traffic 2 Lanes.nlogo,,,,,,,,,
experiment21,,,,,,,,,
01/25/2024 06:36:13:388 +0800,,,,,,,0.059945972,23.10162461,794.9582882
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,
-20,20,-8,8,,,,,,
[run number],acceleration,max-patience,number-of-cars,deceleration,[step],count turtles,mean [speed] of turtles,mean [patience] of turtles,average-wait-time
2,0.005,50,40,0.02,36,40,0.041313511,23.85,4.55
3,0.005,50,40,0.02,36,40,0.072875,21.5,3.8
2,0.005,50,40,0.02,37,40,0.029125,23.35,4.75
2,0.005,50,40,0.02,38,40,0.030375,22.85,4.875
3,0.005,50,40,0.02,37,40,0.06675,22.325,3.825
2,0.005,50,40,0.02,39,40,0.031625,23.625,5.025
3,0.005,50,40,0.02,38,40,0.052375,21.925,4
2,0.005,50,40,0.02,40,40,0.03475,23.175,5.075
1,0.005,50,40,0.02,9,40,0.382875,27.825,0.6
3,0.005,50,40,0.02,39,40,0.04475,21.6,4.075
2,0.005,50,40,0.02,41,40,0.037375,22.7,5.125
3,0.005,50,40,0.02,40,40,0.04725,21.275,4.15
2,0.005,50,40,0.02,42,40,0.040125,22.275,5.175
3,0.005,50,40,0.02,41,40,0.04625,20.875,4.2
2,0.005,50,40,0.02,43,40,0.04,21.825,5.325
3,0.005,50,40,0.02,42,40,0.04925,20.5,4.3
2,0.005,50,40,0.02,44,40,0.04475,21.45,5.375
3,0.005,50,40,0.02,43,40,0.052875,20.2,4.375
2,0.005,50,40,0.02,45,40,0.0475,21.025,5.45
3,0.005,50,40,0.02,44,40,0.05425,19.85,4.45
2,0.005,50,40,0.02,46,40,0.04825,20.625,5.5
1,0.005,50,40,0.02,10,40,0.38675,27.625,0.675
1,0.005,50,40,0.02,11,40,0.391375,27.475,0.75
3,0.005,50,40,0.02,45,40,0.0535,20.725,4.5
3,0.005,50,40,0.02,46,40,0.049875,22.775,4.6
3,0.005,50,40,0.02,47,40,0.053875,22.425,4.65
3,0.005,50,40,0.02,48,40,0.054,22.05,4.7
1,0.005,50,40,0.02,12,40,0.369,27.25,0.825
