BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,,,
红绿__Traffic 2 Lanes.nlogo,,,,,,,,,
experiment21,,,,,,,,,
01/22/2024 01:49:03:281 +0000,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,0.089475335,22.15147168,781.1274244
-20,20,-8,8,,,,,,
[run number],acceleration,max-patience,number-of-cars,deceleration,[step],count turtles,mean [speed] of turtles,mean [patience] of turtles,average-wait-time
3,0.005,50,40,0.02,0,41,0.487804878,22.24390244,0
3,0.005,50,40,0.02,1,40,0.458,24.65,0.05
3,0.005,50,40,0.02,2,40,0.434,25.55,0.15
2,0.005,50,40,0.02,0,41,0.487804878,23.75609756,0
2,0.005,50,40,0.02,1,40,0.466608828,22.825,0.05
1,0.005,50,40,0.02,0,41,0.487804878,20.3902439,0
3,0.005,50,40,0.02,3,40,0.412913681,25.225,0.25
1,0.005,50,40,0.02,1,40,0.45275,23.975,0.05
3,0.005,50,40,0.02,4,40,0.377038681,24.875,0.4
3,0.005,50,40,0.02,5,40,0.369413681,25.8,0.5
3,0.005,50,40,0.02,6,40,0.361663681,26.75,0.6
3,0.005,50,40,0.02,7,40,0.324163681,26.35,0.75
3,0.005,50,40,0.02,8,40,0.311326731,26.025,0.875
3,0.005,50,40,0.02,9,40,0.301076731,25.725,1
3,0.005,50,40,0.02,10,40,0.304576731,25.425,1.075
2,0.005,50,40,0.02,2,40,0.443483828,22.5,0.125
3,0.005,50,40,0.02,11,40,0.288951731,25.075,1.175
2,0.005,50,40,0.02,3,40,0.435350742,22.225,0.2
3,0.005,50,40,0.02,12,40,0.277451731,24.7,1.35
2,0.005,50,40,0.02,4,40,0.426842656,23.15,0.3
3,0.005,50,40,0.02,13,40,0.265826731,24.3,1.5
2,0.005,50,40,0.02,5,40,0.430342656,24.15,0.4
3,0.005,50,40,0.02,14,40,0.269451731,23.95,1.65
2,0.005,50,40,0.02,6,40,0.433967656,25.075,0.5
3,0.005,50,40,0.02,15,40,0.271951731,23.525,1.8
2,0.005,50,40,0.02,7,40,0.411842656,24.775,0.625
3,0.005,50,40,0.02,16,40,0.274201731,23.2,1.975
2,0.005,50,40,0.02,8,40,0.404467656,24.525,0.725
3,0.005,50,40,0.02,17,40,0.263701731,22.85,2.1
2,0.005,50,40,0.02,9,40,0.407592656,24.2,0.825
1,0.005,50,40,0.02,2,40,0.41667064,23.525,0.15
3,0.005,50,40,0.02,18,40,0.22403805,22.4,2.275
2,0.005,50,40,0.02,10,40,0.408334571,23.925,0.925
3,0.005,50,40,0.02,19,40,0.21491305,23.25,2.4
2,0.005,50,40,0.02,11,40,0.411334571,24.9,1.05
3,0.005,50,40,0.02,20,40,0.21753805,22.875,2.55
2,0.005,50,40,0.02,12,40,0.403459571,24.525,1.175
3,0.005,50,40,0.02,21,40,0.207125,23.7,2.675
2,0.005,50,40,0.02,13,40,0.379709571,24.125,1.3
3,0.005,50,40,0.02,22,40,0.197875,23.3,2.825
3,0.005,50,40,0.02,23,40,0.180625,22.875,2.975
2,0.005,50,40,0.02,14,40,0.356584571,24.975,1.425
3,0.005,50,40,0.02,24,40,0.17425,22.525,3.075
2,0.005,50,40,0.02,15,40,0.319334571,24.575,1.55
3,0.005,50,40,0.02,25,40,0.16325,22.2,3.25
2,0.005,50,40,0.02,16,40,0.308084571,24.125,1.675
3,0.005,50,40,0.02,26,40,0.152,21.9,3.4
3,0.005,50,40,0.02,27,40,0.140125,21.6,3.55
2,0.005,50,40,0.02,17,40,0.295822258,23.75,1.8
3,0.005,50,40,0.02,28,40,0.141875,21.3,3.675
2,0.005,50,40,0.02,18,40,0.298709571,24.625,1.925
2,0.005,50,40,0.02,19,40,0.287447258,25.525,2.025
3,0.005,50,40,0.02,29,40,0.1265,21.025,3.8
2,0.005,50,40,0.02,20,40,0.247334571,25.075,2.175
3,0.005,50,40,0.02,30,40,0.10075,20.75,3.85
3,0.005,50,40,0.02,31,40,0.08525,20.475,3.95
2,0.005,50,40,0.02,21,40,0.223072258,24.725,2.325
3,0.005,50,40,0.02,32,40,0.086,20.25,4.025
2,0.005,50,40,0.02,22,40,0.185322258,24.325,2.525
3,0.005,50,40,0.02,33,40,0.072375,20,4.075
