BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,,,
红绿__Traffic 2 Lanes.nlogo,,,,,,,,,
experiment21,,,,,,,,,
01/25/2024 04:46:40:149 +0800,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,0.035224419,23.76629099,560.458621
-20,20,-8,8,,,,,,
[run number],acceleration,max-patience,number-of-cars,deceleration,[step],count turtles,mean [speed] of turtles,mean [patience] of turtles,average-wait-time
2,0.005,50,60,0.02,44,60,0.020083333,23.05,6.6
3,0.005,50,60,0.02,39,60,0.02825,22.2,6.05
2,0.005,50,60,0.02,45,60,0.01975,22.31666667,6.75
3,0.005,50,60,0.02,40,60,0.02525,22.35,6.183333333
2,0.005,50,60,0.02,46,60,0.021,21.66666667,6.916666667
3,0.005,50,60,0.02,41,60,0.027666667,21.76666667,6.3
2,0.005,50,60,0.02,47,60,0.021333333,21.81666667,7.066666667
3,0.005,50,60,0.02,42,60,0.028666667,21.11666667,6.4
2,0.005,50,60,0.02,48,60,0.023666667,21.98333333,7.183333333
3,0.005,50,60,0.02,43,60,0.027583333,20.46666667,6.566666667
2,0.005,50,60,0.02,49,60,0.024,22.11666667,7.35
3,0.005,50,60,0.02,44,60,0.028416667,20.66666667,6.683333333
2,0.005,50,60,0.02,50,60,0.024666667,22.23333333,7.483333333
3,0.005,50,60,0.02,45,60,0.029833333,20.08333333,6.783333333
2,0.005,50,60,0.02,51,60,0.029,24.01666667,7.6
3,0.005,50,60,0.02,46,60,0.028916667,21.05,6.9
2,0.005,50,60,0.02,52,60,0.030333333,23.33333333,7.666666667
1,0.005,50,60,0.02,4,60,0.364549004,27.75,0.366666667
2,0.005,50,60,0.02,53,60,0.03025,23.41666667,7.8
3,0.005,50,60,0.02,47,60,0.028,21.23333333,7.033333333
3,0.005,50,60,0.02,48,60,0.02675,22.21666667,7.166666667
2,0.005,50,60,0.02,54,60,0.027666667,22.61666667,7.883333333
3,0.005,50,60,0.02,49,60,0.028166667,21.55,7.266666667
2,0.005,50,60,0.02,55,60,0.029,21.88333333,8.016666667
3,0.005,50,60,0.02,50,60,0.027666667,20.85,7.333333333
2,0.005,50,60,0.02,56,60,0.030833333,22,8.083333333
3,0.005,50,60,0.02,51,60,0.026666667,23.51666667,7.483333333
2,0.005,50,60,0.02,57,60,0.031166667,22.13333333,8.2
3,0.005,50,60,0.02,52,60,0.027416667,22.83333333,7.583333333
2,0.005,50,60,0.02,58,60,0.032333333,21.4,8.3
3,0.005,50,60,0.02,53,60,0.02425,22.96666667,7.733333333
2,0.005,50,60,0.02,59,60,0.029333333,24.78333333,8.466666667
3,0.005,50,60,0.02,54,60,0.025166667,23.15,7.85
2,0.005,50,60,0.02,60,60,0.026916667,24.86666667,8.7
2,0.005,50,60,0.02,61,60,0.027333333,25.01666667,8.9
3,0.005,50,60,0.02,55,60,0.024166667,24.1,8.083333333
2,0.005,50,60,0.02,62,60,0.02925,24.31666667,9.05
3,0.005,50,60,0.02,56,60,0.02625,23.38333333,8.233333333
3,0.005,50,60,0.02,57,60,0.026166667,23.58333333,8.333333333
2,0.005,50,60,0.02,63,60,0.025416667,24.36666667,9.283333333
3,0.005,50,60,0.02,58,60,0.027333333,22.95,8.466666667
2,0.005,50,60,0.02,64,60,0.02575,23.58333333,9.45
2,0.005,50,60,0.02,65,60,0.024916667,23.68333333,9.666666667
3,0.005,50,60,0.02,59,60,0.024916667,23.11666667,8.633333333
2,0.005,50,60,0.02,66,60,0.027,22.91666667,9.833333333
3,0.005,50,60,0.02,60,60,0.025333333,23.23333333,8.716666667
2,0.005,50,60,0.02,67,60,0.0285,23.03333333,10.01666667
3,0.005,50,60,0.02,61,60,0.023916667,23.4,8.816666667
1,0.005,50,60,0.02,5,60,0.327632338,27.25,0.483333333
2,0.005,50,60,0.02,68,60,0.030166667,22.35,10.16666667
3,0.005,50,60,0.02,62,60,0.026,22.78333333,8.916666667
3,0.005,50,60,0.02,63,60,0.026916667,23.01666667,9
3,0.005,50,60,0.02,64,60,0.02675,22.38333333,9.133333333
3,0.005,50,60,0.02,65,60,0.025666667,22.58333333,9.3
2,0.005,50,60,0.02,69,60,0.030916667,22.46666667,10.36666667
3,0.005,50,60,0.02,66,60,0.028416667,22.01666667,9.366666667
2,0.005,50,60,0.02,70,60,0.033583333,21.78333333,10.5
3,0.005,50,60,0.02,67,60,0.028916667,22.18333333,9.483333333
2,0.005,50,60,0.02,71,60,0.0325,21.01666667,10.68333333
3,0.005,50,60,0.02,68,60,0.027416667,22.31666667,9.633333333
2,0.005,50,60,0.02,72,60,0.030916667,21.11666667,10.83333333
1,0.005,50,60,0.02,6,60,0.305467135,26.8,0.6
3,0.005,50,60,0.02,69,60,0.028,23.4,9.783333333
2,0.005,50,60,0.02,73,60,0.0305,20.41666667,11.03333333
3,0.005,50,60,0.02,70,60,0.028,22.73333333,9.933333333
2,0.005,50,60,0.02,74,60,0.03175,22.18333333,11.18333333
3,0.005,50,60,0.02,71,60,0.027166667,22.06666667,10.05
2,0.005,50,60,0.02,75,60,0.033666667,22.35,11.35
